"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn47350080","code_survival.R","2","text/plain","1666","3442452","1670077463863","3442452","1679234576581","syn33342930","https://www.synapse.org/#!Synapse:syn47350080.2","1cc82f09ab5eb24904e4b7f6df451960"
"syn33342956","banff_ref_total.bibtex","1","application/octet-stream","3927","3442452","1658434650391","3442452","1658434650391","syn33342930","https://www.synapse.org/#!Synapse:syn33342956.1","89eb86b3386db1bff54dbedebb5b156e"
"syn33342962","README.md","7","text/markdown","4682","3442452","1658434655059","3442452","1670077425498","syn33342930","https://www.synapse.org/#!Synapse:syn33342962.7","fc47e692195e4718df89ed9903e12fab"
"syn33342958","colorLOCAL_updated.rds","1","application/octet-stream","5062","3442452","1658434651196","3442452","1658434651196","syn33342930","https://www.synapse.org/#!Synapse:syn33342958.1","102d02a10abdf4ecb98b6bdc29fea9d4"
"syn45189237","code_sankey.R","6","text/plain","9052","3442452","1668614897204","3442452","1679234574092","syn33342930","https://www.synapse.org/#!Synapse:syn45189237.6","99bd64f530557cf26e68f0c6446c0999"
"syn33342955","banff_df3.rds","1","application/octet-stream","10661","3442452","1658434649535","3442452","1658434649535","syn33342930","https://www.synapse.org/#!Synapse:syn33342955.1","ed842f79f45015660ff5dbafe38eefe3"
"syn33342961","LICENSE","1","application/octet-stream","11357","3442452","1658434654233","3442452","1658434654233","syn33342930","https://www.synapse.org/#!Synapse:syn33342961.1","86d3f3a95c324c9479bd8986968f4327"
"syn33342963","test1.Rmd","1","application/octet-stream","17332","3442452","1658434655944","3442452","1658434655944","syn33342930","https://www.synapse.org/#!Synapse:syn33342963.1","63db641978989bc9c719564842fb7ec7"
"syn45189236","banff_discrepancy_pediatric.csv","2","text/csv","29888","3442452","1668614895690","3442452","1669122133513","syn33342930","https://www.synapse.org/#!Synapse:syn45189236.2","54fac5b3d2d2677bbeec39d6ed400424"
"syn51214333","Figure4_data.csv","1","text/csv","44703","3442452","1679234605571","3442452","1679234605571","syn33342930","https://www.synapse.org/#!Synapse:syn51214333.1","51838acb06d98960c42ca436d9c82856"
"syn33342952","app.R","2","text/plain","123487","3442452","1658434648574","3442452","1664895220904","syn33342930","https://www.synapse.org/#!Synapse:syn33342952.2","169efe0102cc42d2b71b6cbdbd3934f2"
"syn45189234","banff_discrepancy_adult.csv","2","text/csv","258111","3442452","1668614893490","3442452","1669122128615","syn33342930","https://www.synapse.org/#!Synapse:syn45189234.2","196120b505e9b70359026bad4e679eec"
"syn39022520","code_explanation.docx","1","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1102524","3442452","1664984279974","3442452","1664984279974","syn33342930","https://www.synapse.org/#!Synapse:syn39022520.1","d41087a23b41ac9e69394e734aa4d517"
